rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
110,0.08,16,0.01,0.01,0.005,0.04,0.0,0.08,1,10000,9246.29210720648,-753.7078927935199,-0.075370789279352,-0.0802960740359379,True,7957,24,6832,3107,146,0,-0.075370789279352
111,0.08,12,0.015,0.01,0.015,0.04,0.0,0.08,1,10000,9245.518184392573,-754.481815607427,-0.0754481815607427,-0.0802260522966202,True,7201,24,3516,1568,77,0,-0.0754481815607427
112,0.1,16,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9244.863482181123,-755.1365178188771,-0.07551365178188771,-0.08084556712971663,True,8205,24,10642,5138,78,0,-0.07551365178188771
113,0.06,8,0.015,0.01,0.01,0.04,0.0,0.08,1,10000,9244.077618184923,-755.9223818150767,-0.07559223818150768,-0.08020677546493313,True,7954,24,4204,1905,177,0,-0.07559223818150768
114,0.08,16,0.01,0.008,0.01,0.04,0.0,0.08,1,10000,9243.80904259675,-756.1909574032506,-0.07561909574032506,-0.08019080225947992,True,8155,24,8714,4069,121,0,-0.07561909574032506
115,0.06,16,0.01,0.008,0.01,0.04,0.0,0.08,1,10000,9243.543652875482,-756.4563471245183,-0.07564563471245182,-0.0815713714951666,True,6808,24,6419,2935,126,0,-0.07564563471245182
116,0.08,16,0.01,0.008,0.015,0.04,0.0,0.08,1,10000,9242.482357221947,-757.5176427780534,-0.07575176427780535,-0.08009229947457348,True,8155,24,8148,3798,101,0,-0.07575176427780535
117,0.06,16,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9242.433065422523,-757.5669345774768,-0.07575669345774767,-0.08110745090064651,True,8159,24,16198,7808,157,0,-0.07575669345774767
118,0.08,16,0.01,0.01,0.015,0.04,0.0,0.08,1,10000,9241.66325422582,-758.3367457741806,-0.07583367457741806,-0.08020235675875129,True,8071,24,6479,2943,99,0,-0.07583367457741806
119,0.1,12,0.015,0.01,0.005,0.04,0.0,0.08,1,10000,9241.120603111725,-758.8793968882746,-0.07588793968882747,-0.0800591787291292,True,8160,24,4215,1921,94,0,-0.07588793968882747
120,0.1,16,0.015,0.008,0.01,0.04,0.0,0.08,1,10000,9241.024447585463,-758.9755524145367,-0.07589755524145367,-0.08146544737156208,True,7202,24,4989,2303,65,0,-0.07589755524145367
121,0.06,16,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9240.909905519338,-759.0900944806617,-0.07590900944806617,-0.08515767160516753,True,6790,24,10461,4995,156,0,-0.07590900944806617
122,0.1,12,0.015,0.01,0.01,0.04,0.0,0.08,1,10000,9239.844907037681,-760.155092962319,-0.07601550929623191,-0.08006230217435716,True,8160,24,4069,1848,86,0,-0.07601550929623191
123,0.06,16,0.01,0.008,0.005,0.04,0.0,0.08,1,10000,9238.74604340363,-761.2539565963707,-0.07612539565963707,-0.08266956580999198,True,6791,24,6884,3153,160,0,-0.07612539565963707
124,0.06,8,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9238.561889155444,-761.4381108445559,-0.07614381108445559,-0.08016647691170893,True,8244,24,8305,4008,171,0,-0.07614381108445559
125,0.1,12,0.015,0.01,0.015,0.04,0.0,0.08,1,10000,9238.466551204157,-761.5334487958426,-0.07615334487958425,-0.08009116661958819,True,8161,24,4016,1828,73,0,-0.07615334487958425
126,0.08,12,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9238.397120839401,-761.6028791605986,-0.07616028791605986,-0.08096330689849836,True,8207,24,9530,4599,106,0,-0.07616028791605986
127,0.1,12,0.015,0.005,0.01,0.04,0.0,0.08,1,10000,9238.396095373862,-761.6039046261376,-0.07616039046261376,-0.08002093574737497,True,8244,24,8296,4003,95,0,-0.07616039046261376
128,0.06,12,0.01,0.008,0.01,0.04,0.0,0.08,1,10000,9237.392557254301,-762.6074427456988,-0.07626074427456987,-0.08078675557230006,True,8159,24,8479,3957,184,0,-0.07626074427456987
129,0.08,12,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9236.863981245286,-763.1360187547143,-0.07631360187547143,-0.08142336339784202,True,8205,24,10293,4964,156,0,-0.07631360187547143
130,0.08,16,0.01,0.005,0.015,0.04,0.0,0.08,1,10000,9236.841260409035,-763.1587395909646,-0.07631587395909646,-0.0805803407653709,True,8232,24,13200,6377,113,0,-0.07631587395909646
131,0.06,8,0.015,0.008,0.01,0.04,0.0,0.08,1,10000,9236.607011693332,-763.3929883066685,-0.07633929883066685,-0.08072022852367676,True,8154,24,5544,2578,183,0,-0.07633929883066685
