week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_grid_moves,selection_trades,selection_open_positions
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-0.001503382144360278,2.3373290815270593,0.00023373290815270593,-0.0011580767016753227,False,14,583,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.1,8,0.005,0.005,0.01,0.04,-0.0008336672598336973,4.187128190234944,0.0004187128190234944,-0.0008349200525714611,False,19,948,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.08,8,0.005,0.005,0.01,0.04,-0.0010068406977057631,4.526597278440022,0.0004526597278440022,-0.0009730002836998435,False,24,1120,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.08,8,0.005,0.005,0.015,0.04,-0.0008429038722655788,5.430750598570739,0.0005430750598570739,-0.0009239859547484351,False,20,1104,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.08,8,0.005,0.005,0.005,0.04,-0.001405451435132242,3.6335860162125755,0.00036335860162125757,-0.0011792066911689998,False,28,1153,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.1,12,0.005,0.005,0.015,0.04,-0.0014630388528577196,5.342288676425596,0.0005342288676425597,-0.001331511813666853,False,14,1397,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.1,8,0.005,0.008,0.005,0.04,-0.0012956600872280589,2.8288927294015593,0.0002828892729401559,-0.0010523662401121432,False,20,579,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.1,8,0.005,0.005,0.005,0.04,-0.0016269021066649162,-1.1562496439128154,-0.00011562496439128154,-0.0010075180948490897,False,22,868,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.001911604382886263,-2.918764225742052,-0.0002918764225742052,-0.0010798186402080385,False,11,491,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.1,8,0.005,0.005,0.015,0.04,-0.0014836434006810179,-1.091442157929123,-0.00010914421579291229,-0.0009163327899254037,False,11,805,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-0.0018907574595092677,-2.847083328420922,-0.0002847083328420922,-0.001070699417778117,False,11,486,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.1,8,0.005,0.005,0.01,0.04,-0.0015419821475039963,-1.3125460416176793,-0.00013125460416176792,-0.000940485028894819,False,11,803,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.08,8,0.005,0.005,0.01,0.04,-0.0023763258791038877,-3.2623075066203455,-0.00032623075066203454,-0.0013667300856279021,False,23,1037,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.08,8,0.005,0.005,0.015,0.04,-0.002599031165207373,-4.607620420902094,-0.00046076204209020944,-0.0014255127487447757,False,23,961,10
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,0.08,8,0.005,0.005,0.005,0.04,-0.00261878120938763,-4.424352259557054,-0.0004424352259557054,-0.0014508973222879498,False,26,994,10
